date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue
2019-08-01,0,0,0,0,2019-08,0.0
2019-08-02,0,0,0,0,2019-08,0.0
2019-08-03,0,0,0,0,2019-08,0.0
2019-08-04,0,0,0,0,2019-08,0.0
2019-08-05,0,0,0,0,2019-08,0.0
2019-08-06,0,0,0,0,2019-08,0.0
2019-08-07,15,1,15,68,2019-08,163.24
2019-08-08,0,0,0,0,2019-08,0.0
2019-08-09,62,1,62,511,2019-08,245.31999999999996
2019-08-10,0,0,0,0,2019-08,0.0
2019-08-11,0,0,0,0,2019-08,0.0
2019-08-12,0,0,0,0,2019-08,0.0
2019-08-13,0,0,0,0,2019-08,0.0
2019-08-14,0,0,0,0,2019-08,0.0
2019-08-15,0,0,0,0,2019-08,0.0
2019-08-16,0,0,0,0,2019-08,0.0
2019-08-17,0,0,0,0,2019-08,0.0
2019-08-18,0,0,0,0,2019-08,0.0
2019-08-19,0,0,0,0,2019-08,0.0
2019-08-20,0,0,0,0,2019-08,0.0
2019-08-21,0,0,0,0,2019-08,0.0
2019-08-22,0,0,0,0,2019-08,0.0
2019-08-23,0,0,0,0,2019-08,0.0
2019-08-24,0,0,0,0,2019-08,0.0
2019-08-25,0,0,0,0,2019-08,0.0
2019-08-26,0,0,0,0,2019-08,0.0
2019-08-27,0,0,0,0,2019-08,0.0
2019-08-28,4,1,4,7,2019-08,9.600000000000001
2019-08-29,16,1,16,169,2019-08,84.28
2019-08-30,0,0,0,0,2019-08,0.0
2019-08-31,0,0,0,0,2019-08,0.0
2019-09-01,0,0,0,0,2019-09,0.0
2019-09-02,0,0,0,0,2019-09,0.0
2019-09-03,0,0,0,0,2019-09,0.0
2019-09-04,0,0,0,0,2019-09,0.0
2019-09-05,0,0,0,0,2019-09,0.0
2019-09-06,81,1,81,872,2019-09,214.39
2019-09-07,0,0,0,0,2019-09,0.0
2019-09-08,0,0,0,0,2019-09,0.0
2019-09-09,0,0,0,0,2019-09,0.0
2019-09-10,0,0,0,0,2019-09,0.0
2019-09-11,0,0,0,0,2019-09,0.0
2019-09-12,20,1,20,162,2019-09,101.91
2019-09-13,0,0,0,0,2019-09,0.0
2019-09-14,0,0,0,0,2019-09,0.0
2019-09-15,0,0,0,0,2019-09,0.0
2019-09-16,53,1,53,738,2019-09,121.59000000000002
2019-09-17,18,1,18,103,2019-09,114.44999999999999
2019-09-18,0,0,0,0,2019-09,0.0
2019-09-19,0,0,0,0,2019-09,0.0
2019-09-20,0,0,0,0,2019-09,0.0
2019-09-21,0,0,0,0,2019-09,0.0
2019-09-22,0,0,0,0,2019-09,0.0
2019-09-23,0,0,0,0,2019-09,0.0
2019-09-24,0,0,0,0,2019-09,0.0
2019-09-25,14,1,14,52,2019-09,110.05
2019-09-26,0,0,0,0,2019-09,0.0
2019-09-27,0,0,0,0,2019-09,0.0
2019-09-28,0,0,0,0,2019-09,0.0
2019-09-29,0,0,0,0,2019-09,0.0
2019-09-30,0,0,0,0,2019-09,0.0
2019-10-01,0,0,0,0,2019-10,0.0
2019-10-02,0,0,0,0,2019-10,0.0
2019-10-03,0,0,0,0,2019-10,0.0
2019-10-04,0,0,0,0,2019-10,0.0
2019-10-05,0,0,0,0,2019-10,0.0
2019-10-06,0,0,0,0,2019-10,0.0
2019-10-07,0,0,0,0,2019-10,0.0
2019-10-08,1,1,1,1,2019-10,6.0
2019-10-09,18,2,17,86,2019-10,199.07999999999998
2019-10-10,0,0,0,0,2019-10,0.0
2019-10-11,0,0,0,0,2019-10,0.0
2019-10-12,0,0,0,0,2019-10,0.0
2019-10-13,0,0,0,0,2019-10,0.0
2019-10-14,0,0,0,0,2019-10,0.0
2019-10-15,0,0,0,0,2019-10,0.0
2019-10-16,0,0,0,0,2019-10,0.0
2019-10-17,0,0,0,0,2019-10,0.0
2019-10-18,0,0,0,0,2019-10,0.0
2019-10-19,0,0,0,0,2019-10,0.0
2019-10-20,0,0,0,0,2019-10,0.0
2019-10-21,0,0,0,0,2019-10,0.0
2019-10-22,0,0,0,0,2019-10,0.0
2019-10-23,0,0,0,0,2019-10,0.0
2019-10-24,69,2,69,660,2019-10,214.51
2019-10-25,32,2,32,317,2019-10,91.78
2019-10-26,0,0,0,0,2019-10,0.0
2019-10-27,0,0,0,0,2019-10,0.0
2019-10-28,0,0,0,0,2019-10,0.0
2019-10-29,0,0,0,0,2019-10,0.0
2019-10-30,0,0,0,0,2019-10,0.0
2019-10-31,15,1,15,97,2019-10,86.53
2019-11-01,0,0,0,0,2019-11,0.0
2019-11-02,0,0,0,0,2019-11,0.0
2019-11-03,16,1,16,140,2019-11,90.19
2019-11-04,0,0,0,0,2019-11,0.0
2019-11-05,0,0,0,0,2019-11,0.0
2019-11-06,0,0,0,0,2019-11,0.0
2019-11-07,0,0,0,0,2019-11,0.0
2019-11-08,0,0,0,0,2019-11,0.0
2019-11-09,0,0,0,0,2019-11,0.0
2019-11-10,0,0,0,0,2019-11,0.0
2019-11-11,0,0,0,0,2019-11,0.0
2019-11-12,0,0,0,0,2019-11,0.0
2019-11-13,0,0,0,0,2019-11,0.0
2019-11-14,0,0,0,0,2019-11,0.0
2019-11-15,35,1,34,225,2019-11,186.03999999999996
2019-11-16,0,0,0,0,2019-11,0.0
2019-11-17,0,0,0,0,2019-11,0.0
2019-11-18,0,0,0,0,2019-11,0.0
2019-11-19,0,0,0,0,2019-11,0.0
2019-11-20,0,0,0,0,2019-11,0.0
2019-11-21,0,0,0,0,2019-11,0.0
2019-11-22,49,1,49,502,2019-11,213.07
2019-11-23,0,0,0,0,2019-11,0.0
2019-11-24,0,0,0,0,2019-11,0.0
2019-11-25,0,0,0,0,2019-11,0.0
2019-11-26,0,0,0,0,2019-11,0.0
2019-11-27,68,1,68,757,2019-11,164.70000000000002
2019-11-28,0,0,0,0,2019-11,0.0
2019-11-29,0,0,0,0,2019-11,0.0
2019-11-30,0,0,0,0,2019-11,0.0
