unique_id	timestamp	tag	period	mae	mse	r2	adj_r2	model_version	model_version_note	runtime
2d767018-e959-473a-9b4c-11eca1f966f9	1607704824	all	"('2017-11-29', '2019-05-31')"	{'mae': 12518.488839797974}	{'mse': 352964729.0334201}	{'r2': 0.9433850699936127}	{'adj_r2': 0.9423310686371108}	0.1	supervised learning model for time-series	000:02:01
6ddf91b8-d157-44dd-a880-105e4ac3556c	1607704904	eire	"('2017-11-29', '2019-05-31')"	{'mae': 899.5935086868685}	{'mse': 2551608.1481686733}	{'r2': 0.8520498559017963}	{'adj_r2': 0.8492954649212446}	0.1	supervised learning model for time-series	000:01:08
18eda017-4997-40ff-a2ad-7a237bf2bafc	1607704952	france	"('2017-11-29', '2019-05-31')"	{'mae': 309.16652518326146}	{'mse': 316502.334582464}	{'r2': 0.7181749993599966}	{'adj_r2': 0.7129282573268051}	0.1	supervised learning model for time-series	000:00:43
52e78f78-2b4e-4eb2-9da8-0196bf884903	1607705004	germany	"('2017-11-29', '2019-05-31')"	{'mae': 327.9099895959596}	{'mse': 251408.67208251506}	{'r2': 0.6796810604494834}	{'adj_r2': 0.6737176759365748}	0.1	supervised learning model for time-series	000:00:48
34a5875a-81a5-4a63-a205-1e231e9df7c7	1607705026	hong_kong	"('2018-04-19', '2019-05-01')"	{'mae': 362.90635374195534}	{'mse': 856461.1865593491}	{'r2': 0.8327074641975745}	{'adj_r2': 0.8265114443530401}	0.1	supervised learning model for time-series	000:00:19
96ad1cd2-f9b9-4b77-98cc-e3176ea73f15	1607705073	netherlands	"('2017-11-30', '2019-05-31')"	{'mae': 86.7717696969697}	{'mse': 22000.46498694142}	{'r2': 0.8170004408665212}	{'adj_r2': 0.8135844490960297}	0.1	supervised learning model for time-series	000:00:41
c16568cd-b0ff-4cfa-a613-7ad3dd54303c	1607705099	norway	"('2017-12-05', '2019-05-11')"	{'mae': 34.53515425536511}	{'mse': 20384.71470982982}	{'r2': 0.8891427452045696}	{'adj_r2': 0.8863311481626566}	0.1	supervised learning model for time-series	000:00:22
4ff1e0d9-5670-4aa0-9537-69b7f6050817	1607705140	portugal	"('2017-11-29', '2019-05-31')"	{'mae': 107.59883181818182}	{'mse': 95558.04737016314}	{'r2': 0.9583340064143085}	{'adj_r2': 0.9575583097252133}	0.1	supervised learning model for time-series	000:00:37
d8d793ae-13d7-4a95-bb85-e21c7d02db42	1607705160	singapore	"('2018-04-25', '2019-05-12')"	{'mae': 842.7415574898466}	{'mse': 5845620.709778385}	{'r2': 0.634676064428311}	{'adj_r2': 0.6193630850929708}	0.1	supervised learning model for time-series	000:00:16
d48d432b-3635-4a64-84ea-20768165e2e4	1607705210	spain	"('2017-12-01', '2019-05-31')"	{'mae': 109.74641223332915}	{'mse': 87744.1815446244}	{'r2': 0.9118377276196942}	{'adj_r2': 0.9101876316125761}	0.1	supervised learning model for time-series	000:00:45
5b4540ef-c53e-4f57-a3d0-97e81946440e	1607705270	united_kingdom	"('2017-11-29', '2019-05-31')"	{'mae': 15384.902170829271}	{'mse': 632818609.8960936}	{'r2': 0.8946344529767939}	{'adj_r2': 0.8926728603460428}	0.1	supervised learning model for time-series	000:00:56
